"Date","Num_Of_Game","Day","Away_Team","Away_League","Season_Week_Away","Home_Team","Home_League","Season_Week_Home","Time_of_Day","Delays","Delay_Date"
"20150405","0","Sun","SLN","NL",1,"CHN","NL",1,"N","",""
"20150406","0","Mon","SFN","NL",1,"ARI","NL",1,"N","",""
"20150406","0","Mon","PIT","NL",1,"CIN","NL",1,"D","",""
"20150406","0","Mon","MIN","AL",1,"DET","AL",1,"D","",""
"20150406","0","Mon","CLE","AL",1,"HOU","AL",1,"N","",""
"20150406","0","Mon","CHA","AL",1,"KCA","AL",1,"D","",""
"20150406","0","Mon","SDN","NL",1,"LAN","NL",1,"D","",""
"20150406","0","Mon","ATL","NL",1,"MIA","NL",1,"D","",""
"20150406","0","Mon","COL","NL",1,"MIL","NL",1,"D","",""
"20150406","0","Mon","TOR","AL",1,"NYA","AL",1,"D","",""
"20150406","0","Mon","TEX","AL",1,"OAK","AL",1,"N","",""
"20150406","0","Mon","BOS","AL",1,"PHI","NL",1,"D","",""
"20150406","0","Mon","ANA","AL",1,"SEA","AL",1,"D","",""
"20150406","0","Mon","BAL","AL",1,"TBA","AL",1,"D","",""
"20150406","0","Mon","NYN","NL",1,"WAS","NL",1,"D","",""
"20150407","0","Tue","SFN","NL",2,"ARI","NL",2,"N","",""
"20150407","0","Tue","SLN","NL",2,"CHN","NL",2,"N","Rain","20150707"
"20150407","0","Tue","SDN","NL",2,"LAN","NL",2,"N","",""
"20150407","0","Tue","ATL","NL",2,"MIA","NL",2,"N","",""
"20150407","0","Tue","COL","NL",2,"MIL","NL",2,"N","",""
"20150407","0","Tue","TEX","AL",2,"OAK","AL",2,"N","",""
"20150407","0","Tue","ANA","AL",2,"SEA","AL",2,"N","",""
"20150407","0","Tue","BAL","AL",2,"TBA","AL",2,"N","",""
"20150408","0","Wed","SFN","NL",3,"ARI","NL",3,"N","",""
"20150408","0","Wed","SLN","NL",3,"CHN","NL",3,"D","",""
"20150408","0","Wed","PIT","NL",2,"CIN","NL",2,"N","",""
"20150408","0","Wed","MIN","AL",2,"DET","AL",2,"D","",""
"20150408","0","Wed","CLE","AL",2,"HOU","AL",2,"N","",""
"20150408","0","Wed","CHA","AL",2,"KCA","AL",2,"N","",""
"20150408","0","Wed","SDN","NL",3,"LAN","NL",3,"N","",""
"20150408","0","Wed","ATL","NL",3,"MIA","NL",3,"N","",""
"20150408","0","Wed","COL","NL",3,"MIL","NL",3,"N","",""
"20150408","0","Wed","TOR","AL",2,"NYA","AL",2,"N","",""
"20150408","0","Wed","TEX","AL",3,"OAK","AL",3,"N","",""
"20150408","0","Wed","BOS","AL",2,"PHI","NL",2,"N","",""
"20150408","0","Wed","ANA","AL",3,"SEA","AL",3,"N","",""
"20150408","0","Wed","BAL","AL",3,"TBA","AL",3,"N","",""
"20150408","0","Wed","NYN","NL",2,"WAS","NL",2,"N","",""
"20150409","0","Thu","PIT","NL",3,"CIN","NL",3,"D","",""
"20150409","0","Thu","MIN","AL",3,"DET","AL",3,"D","",""
"20150409","0","Thu","CLE","AL",3,"HOU","AL",3,"D","",""
"20150409","0","Thu","CHA","AL",3,"KCA","AL",3,"D","",""
"20150409","0","Thu","TOR","AL",3,"NYA","AL",3,"N","",""
"20150409","0","Thu","TEX","AL",4,"OAK","AL",4,"D","",""
"20150409","0","Thu","BOS","AL",3,"PHI","NL",3,"N","",""
"20150409","0","Thu","SFN","NL",4,"SDN","NL",4,"D","",""
"20150409","0","Thu","NYN","NL",3,"WAS","NL",3,"D","",""
"20150410","0","Fri","KCA","AL",4,"ANA","AL",4,"N","",""
"20150410","0","Fri","LAN","NL",4,"ARI","NL",4,"N","",""
"20150410","0","Fri","NYN","NL",4,"ATL","NL",4,"N","",""
"20150410","0","Fri","TOR","AL",4,"BAL","AL",4,"D","",""
"20150410","0","Fri","MIN","AL",4,"CHA","AL",4,"D","",""
"20150410","0","Fri","SLN","NL",4,"CIN","NL",4,"N","",""
"20150410","0","Fri","DET","AL",4,"CLE","AL",4,"D","",""
"20150410","0","Fri","CHN","NL",4,"COL","NL",4,"D","",""
"20150410","0","Fri","TBA","AL",4,"MIA","NL",4,"N","",""
"20150410","0","Fri","PIT","NL",4,"MIL","NL",4,"N","",""
"20150410","0","Fri","BOS","AL",4,"NYA","AL",4,"N","",""
"20150410","0","Fri","SEA","AL",4,"OAK","AL",5,"N","",""
"20150410","0","Fri","WAS","NL",4,"PHI","NL",4,"N","",""
"20150410","0","Fri","SFN","NL",5,"SDN","NL",5,"N","",""
"20150410","0","Fri","HOU","AL",4,"TEX","AL",5,"D","",""
"20150411","0","Sat","KCA","AL",5,"ANA","AL",5,"N","",""
"20150411","0","Sat","LAN","NL",5,"ARI","NL",5,"N","",""
"20150411","0","Sat","NYN","NL",5,"ATL","NL",5,"N","",""
