,Predict,Id,Position,Nickname,FPPG,Salary,Team
0,12.051122,27215-14038,OF,Khris Davis,12.47659626,4700,OAK
1,11.265851,27215-21705,SS,Marcus Semien,9.484158658,3900,OAK
2,8.853117,27215-68544,3B,Matt Chapman,10.07272755,3900,OAK
3,9.679988,27215-6029,2B,Jed Lowrie,10.78316808,3700,OAK
4,10.907712,27215-52175,1B,Matt Olson,9.867307223,3600,OAK
5,9.599131,27215-38252,OF,Stephen Piscotty,9.549473812999999,3500,OAK
6,8.875676,27215-21666,OF,Mark Canha,9.130863896000001,3200,OAK
7,8.110481,27215-68478,OF,Chad Pinder,7.621428571,3200,OAK
8,9.145985,27215-80853,OF,Dustin Fowler,6.82280691,3200,OAK
9,8.557175,27215-12237,C,Jonathan Lucroy,6.730379901,3100,OAK
10,5.2706823,27215-71874,C,Bruce Maxwell,5.222222222,3000,OAK
11,6.22528,27215-14088,OF,Jake Smolinski,2.470000076,3000,OAK
12,6.893569,27215-13238,C,Josh Phegley,7.623529771,3000,OAK
13,7.8393607,27215-68538,2B,Franklin Barreto,6.769999695,3000,OAK
14,11.674541,27215-13719,3B,Nolan Arenado,13.37789499,4500,COL
15,10.413437,27215-13229,OF,Charlie Blackmon,11.99895859,4100,COL
16,12.970209,27215-52158,SS,Trevor Story,12.23199951,4100,COL
17,9.158556,27215-6319,1B,Ian Desmond,10.61616162,3700,COL
18,12.433678,27215-5076,OF,Carlos Gonzalez,9.840740439,3500,COL
19,7.251297,27215-5473,OF,Gerardo Parra,8.0,3100,COL
20,8.807954,27215-52157,C,Tom Murphy,5.5478260210000006,3100,COL
21,8.080328,27215-5084,C,Chris Iannetta,7.224999905,3100,COL
22,8.739863,27215-73879,2B,Pat Valaika,2.408510573,3000,COL
23,7.382677,27215-60635,OF,Raimel Tapia,4.521428517,3000,COL
24,9.187991,27215-38127,C,Tony Wolters,5.926087089,3000,COL
25,6.872735,27215-53027,2B,Daniel Castro,3.688888974,3000,COL
26,7.4352865,27215-68514,1B,Ryan McMahon,3.827659445,3000,COL
27,5.883118,27215-68516,OF,Jordan Patterson,0.0,3000,COL
28,10.528691,27215-68522,3B,Alex Bregman,13.21782178,4200,HOU
29,10.204935,27215-16983,OF,George Springer,11.03960396,4000,HOU
30,7.4217286,27215-13694,SS,Marwin Gonzalez,7.387234302,2900,HOU
31,9.224283,27215-5189,OF,Josh Reddick,8.663749695,2800,HOU
32,8.988901,27215-68471,OF,Tony Kemp,7.885999756,2600,HOU
33,9.232994,27215-17015,C,Evan Gattis,9.713483146,2500,HOU
34,6.3092427,27215-13436,C,Max Stassi,7.455737505,2200,HOU
35,9.899177,27215-13416,C,Tim Federowicz,5.279999924,2100,HOU
36,6.110404,27215-13253,C,Martin Maldonado,6.689743432999999,2100,HOU
37,8.75524,27215-68627,1B,Tyler White,5.526666767999999,2000,HOU
38,7.1893253,27215-13422,OF,Jake Marisnick,4.88873248,2000,HOU
39,8.652084,27215-79127,OF,Derek Fisher,5.558333502999999,2000,HOU
40,7.8258333,27215-68525,1B,J.D. Davis,5.304999924,2000,HOU
41,8.749394,27215-5359,SS,Elvis Andrus,9.781395491,4000,TEX
42,7.599037,27215-21584,2B,Rougned Odor,9.172972807999999,3600,TEX
43,11.051884,27215-13262,3B,Jurickson Profar,10.20000013,3000,TEX
44,9.987002,27215-5832,3B,Adrian Beltre,7.977465133,2900,TEX
45,10.50462,27215-12988,C,Robinson Chirinos,9.245946111,2800,TEX
46,13.920174,27215-38321,OF,Joey Gallo,10.23838359,2800,TEX
47,7.5329976,27215-79170,OF,Willie Calhoun,5.3142858230000005,2600,TEX
48,5.483201,27215-82837,OF,Carlos Tocci,1.7235293669999998,2200,TEX
49,10.356845,27215-82977,C,Isiah Kiner-Falefa,7.672972808,2100,TEX
50,8.423092,27215-58411,OF,Ryan Rua,4.717857361,2100,TEX
51,9.556264,27215-79262,1B,Ronald Guzman,7.959740577000001,2100,TEX
52,10.072641,27215-13959,C,Juan Centeno,5.309999847,2000,TEX
53,6.3834953,27215-21183,C,Carlos Perez,3.070833206,2000,TEX
54,8.260302,27215-5319,SS,Cliff Pennington,1.887500048,2000,TEX
