Season,Team,Team_Short,Team_Short_Alt,1B as L,1B as R,2B as L,2B as R,3B as L,3B as R,HR as L,HR as R,Home,Away
2017,Angels,LAA,ANA,100,100,97,95,92,86,95,99,1,0
2017,Orioles,BAL,BAL,104,101,96,97,84,92,111,105,1,0
2017,Red Sox,BOS,BOS,103,104,124,106,121,88,90,101,1,0
2017,White Sox,CHW,CHA,96,101,93,97,102,88,108,105,1,0
2017,Indians,CLE,CLE,103,98,107,103,83,83,105,99,1,0
2017,Tigers,DET,DET,100,101,95,100,119,126,102,100,1,0
2017,Royals,KCR,KCA,100,101,103,107,119,111,93,92,1,0
2017,Twins,MIN,MIN,103,103,100,106,108,102,97,104,1,0
2017,Yankees,NYY,NYA,99,100,97,93,83,83,114,112,1,0
2017,Athletics,OAK,OAK,97,101,101,103,120,108,91,97,1,0
2017,Mariners,SEA,SEA,98,98,96,96,82,90,100,98,1,0
2017,Rays,TBR,TBA,99,98,96,93,98,102,99,94,1,0
2017,Rangers,TEX,TEX,104,103,97,101,112,106,102,100,1,0
2017,Blue Jays,TOR,TOR,98,96,109,107,97,96,104,102,1,0
2017,Diamondbacks,ARI,ARI,101,99,107,106,118,136,104,104,1,0
2017,Braves,ATL,ATL,102,100,100,103,94,90,104,95,1,0
2017,Cubs,CHC,CHN,102,98,102,98,96,111,94,105,1,0
2017,Reds,CIN,CIN,98,99,95,105,96,88,110,106,1,0
2017,Rockies,COL,COL,108,111,108,112,140,128,108,113,1,0
2017,Marlins,MIA,MIA,100,97,93,100,106,108,89,90,1,0
2017,Astros,HOU,HOU,98,98,95,97,107,110,103,101,1,0
2017,Dodgers,LAD,LAN,96,96,98,99,78,75,105,96,1,0
2017,Brewers,MIL,MIL,100,97,100,100,94,96,111,105,1,0
2017,Nationals,WSN,WAS,104,105,103,102,85,79,95,100,1,0
2017,Mets,NYM,NYN,94,96,97,95,89,82,99,98,1,0
2017,Phillies,PHI,PHI,97,99,98,98,96,95,108,116,1,0
2017,Pirates,PIT,PIT,102,103,98,100,85,104,98,89,1,0
2017,Cardinals,STL,SLN,100,101,100,99,96,96,97,94,1,0
2017,Padres,SDP,SDN,98,98,100,93,86,109,96,95,1,0
2017,Giants,SFG,SFN,102,99,100,97,130,111,82,88,1,0
